state,tor_length,tor_width,year,injuries,fatalities,tor_scale_unified
IL,0.1,10.0,2004,0,0,EF0
WI,11.0,200.0,2004,0,0,EF2
KY,0.3,150.0,2004,4,0,EF1
TX,0.5,45.0,2004,1,0,EF1
IA,0.7,40.0,2004,0,0,EF0
SC,0.1,50.0,2004,0,0,EF0
GA,0.1,50.0,2004,0,0,EF0
TX,0.1,20.0,2004,0,0,EF0
NC,0.1,25.0,2004,0,0,EF0
NC,0.1,25.0,2004,0,0,EF0
NC,0.1,50.0,2004,1,0,EF1
NC,1.0,25.0,2004,0,0,EF0
VA,0.1,10.0,2004,0,0,EF1
KS,0.2,50.0,2004,0,0,EF0
MI,3.0,100.0,2004,0,0,EF0
LA,5.0,30.0,2004,0,0,EF1
WI,1.3,25.0,2004,0,0,EF0
TX,0.7,20.0,2004,0,0,EF0
TX,1.3,150.0,2004,0,0,EF0
TX,10.3,200.0,2004,3,0,EF2
KS,0.3,50.0,2004,0,0,EF0
WI,1.0,25.0,2004,0,0,EF0
IA,0.7,40.0,2004,0,0,EF0
IA,7.0,30.0,2004,0,0,EF0
IA,0.3,25.0,2004,0,0,EF0
IA,9.0,450.0,2004,0,0,EF1
IA,6.0,200.0,2004,0,0,EF1
TX,0.8,20.0,2004,0,0,EF0
TX,0.1,20.0,2004,0,0,EF0
NE,0.2,100.0,2004,0,0,EF0
NE,2.0,240.0,2004,0,0,EF0
NC,1.0,100.0,2004,0,0,EF0
NC,0.1,25.0,2004,0,0,EF0
NC,0.1,25.0,2004,0,0,EF0
NC,0.1,20.0,2004,0,0,EF0
NC,0.1,20.0,2004,0,0,EF0
IA,0.5,40.0,2004,0,0,EF0
IA,0.1,25.0,2004,0,0,EF0
FL,0.5,50.0,2004,0,0,EF0
FL,3.0,70.0,2004,0,0,EF1
TX,0.1,25.0,2004,0,0,EF0
WI,0.1,25.0,2004,0,0,EF0
NE,1.0,150.0,2004,0,0,EF0
IA,0.2,25.0,2004,0,0,EF0
TX,0.7,30.0,2004,0,0,EF0
WI,7.1,150.0,2004,0,0,EF1
WA,0.1,10.0,2004,0,0,EF0
OR,0.1,20.0,2004,0,0,EF0
WI,7.8,200.0,2004,0,0,EF1
TX,0.1,20.0,2004,0,0,EF0
TX,0.2,25.0,2004,0,0,EF0
TX,1.0,250.0,2004,0,0,EF1
WA,0.5,30.0,2004,0,0,EF0
KS,0.5,50.0,2004,0,0,EF0
KS,0.2,50.0,2004,0,0,EF0
IA,0.5,30.0,2004,0,0,EF0
IA,0.5,30.0,2004,0,0,EF0
IA,0.2,25.0,2004,0,0,EF0
NE,0.2,150.0,2004,0,0,EF0
NE,0.2,50.0,2004,0,0,EF0
NE,1.0,200.0,2004,0,0,EF0
TX,0.2,20.0,2004,0,0,EF0
NE,10.0,220.0,2004,2,0,EF1
KS,1.0,75.0,2004,0,0,EF0
FL,0.5,30.0,2004,0,0,EF0
MN,0.1,25.0,2004,0,0,EF0
OR,0.1,3.0,2004,0,0,EF0
KY,0.1,63.0,2004,0,0,EF1
KY,0.2,63.0,2004,0,0,EF1
NE,0.1,20.0,2004,0,0,EF0
NE,3.0,400.0,2004,0,0,EF1
OH,0.1,10.0,2004,0,0,EF0
OH,2.5,50.0,2004,1,0,EF1
OH,0.5,10.0,2004,0,0,EF0
OH,2.0,167.0,2004,0,0,EF1
NE,3.0,100.0,2004,0,0,EF0
NY,3.0,100.0,2004,0,0,EF1
CO,0.2,75.0,2004,0,0,EF0
CO,0.1,50.0,2004,0,0,EF0
IN,1.8,75.0,2004,0,0,EF2
IN,0.2,50.0,2004,0,0,EF0
IN,2.0,50.0,2004,0,0,EF0
AL,9.0,100.0,2004,3,0,EF1
NE,0.2,20.0,2004,0,0,EF0
KY,0.1,17.0,2004,0,0,EF0
ND,0.1,25.0,2004,0,0,EF0
ND,1.0,50.0,2004,0,0,EF1
ND,0.1,25.0,2004,0,0,EF0
IL,0.1,10.0,2004,0,0,EF0
MT,1.0,100.0,2004,0,0,EF0
CO,0.1,50.0,2004,0,0,EF0
KS,1.5,75.0,2004,0,0,EF0
TX,1.0,30.0,2004,0,0,EF0
TX,0.8,30.0,2004,0,0,EF0
IL,0.1,10.0,2004,0,0,EF0
MO,1.0,75.0,2004,0,0,EF0
IL,5.3,216.0,2004,0,0,EF2
IL,0.2,50.0,2004,0,0,EF0
KS,0.2,50.0,2004,0,0,EF0
KS,0.2,50.0,2004,0,0,EF0
KS,0.2,50.0,2004,0,0,EF0
AL,2.5,75.0,2004,0,0,EF1
AL,8.5,150.0,2004,0,0,EF1
CO,3.0,150.0,2004,0,0,EF0
SD,0.1,50.0,2004,0,0,EF0
IA,0.2,50.0,2004,0,0,EF0
IA,0.2,50.0,2004,0,0,EF0
KS,0.3,50.0,2004,0,0,EF0
NE,0.1,15.0,2004,0,0,EF0
CO,0.1,50.0,2004,0,0,EF0
CO,0.1,50.0,2004,0,0,EF0
MO,1.5,50.0,2004,0,0,EF0
MN,6.0,100.0,2004,0,0,EF1
NE,2.0,50.0,2004,0,0,EF0
CO,0.5,75.0,2004,2,0,EF1
NE,0.2,75.0,2004,0,0,EF0
SD,1.0,200.0,2004,0,0,EF0
SD,0.2,50.0,2004,0,0,EF0
SD,0.2,50.0,2004,0,0,EF0
SD,0.2,50.0,2004,0,0,EF0
SD,0.1,50.0,2004,0,0,EF0
SD,0.2,50.0,2004,0,0,EF0
NE,0.1,15.0,2004,0,0,EF0
NE,2.0,100.0,2004,0,0,EF1
AL,4.0,100.0,2004,0,0,EF1
NE,0.1,50.0,2004,0,0,EF0
NE,0.1,15.0,2004,0,0,EF0
NE,0.1,50.0,2004,0,0,EF0
NY,3.0,100.0,2004,0,0,EF1
CO,1.0,100.0,2004,1,0,EF1
CO,0.5,50.0,2004,0,0,EF0
NE,0.5,100.0,2004,0,0,EF0
CO,0.1,50.0,2004,0,0,EF0
AL,4.2,150.0,2004,0,0,EF0
NE,0.1,25.0,2004,0,0,EF0
SD,0.2,50.0,2004,0,0,EF0
NE,3.5,125.0,2004,0,0,EF0
NE,1.0,50.0,2004,0,0,EF0
NE,2.5,100.0,2004,0,0,EF1
CO,0.7,20.0,2004,0,0,EF1
MN,1.0,100.0,2004,0,0,EF0
